Name,Genres,Release Date,Owners,User score,Positive,Negative
Black Dragon Mage Playtest,,"Aug 1, 2023",0 - 0,0,0,0
Supipara - Chapter 1 Spring Has Come!,Adventure,"Jul 29, 2016",0 - 20000,0,252,3
Mystery Solitaire The Black Raven,Casual,"May 6, 2019",0 - 20000,0,21,3
버튜버 파라노이아 - Vtuber Paranoia,"Casual,Indie,Simulation","Oct 31, 2024",0 - 20000,0,0,0
Maze Quest VR,"Action,Early Access","Apr 24, 2025",0 - 20000,0,0,0
Agony VR,"Action,Adventure","Apr 5, 2023",0 - 20000,0,0,0
Armored Brigade II,"Simulation,Strategy","Apr 8, 2025",0 - 20000,0,117,13
Galacatraz: Eject Equip Escape,"Action,Indie","Feb 1, 2018",0 - 20000,0,0,0
Hepta Beats,"Casual,Indie","May 7, 2021",0 - 20000,0,28,4
MUMBA IV: Egypt Jewels,"Action,Casual,Indie,Strategy","Dec 13, 2021",0 - 20000,0,19,6
Codename: Warlock Playtest,,"Mar 25, 2022",0 - 0,0,0,0
OMNIMUS,"Adventure,Indie","Sep 25, 2019",0 - 20000,0,47,6
Fantasy General II,Strategy,"Sep 5, 2019",100000 - 200000,0,1025,210
"Forests, Fields and Fortresses","Casual,Indie","Apr 5, 2023",0 - 20000,0,64,2
DogDogDog,"Adventure,Casual,Indie","Apr 19, 2024",0 - 20000,0,34,10
Bacon Quest - Lovers' Beef Special Edition,RPG,"Apr 29, 2020",0 - 20000,0,0,0
Challenge from the Black Cat,Action,"Aug 10, 2023",0 - 20000,0,2,0
Redline,"Action,Racing","Oct 23, 2014",0 - 20000,0,74,35
Midnight Dash,"Action,Adventure,Indie,Free To Play,Early Access","Jan 9, 2023",0 - 0,0,0,0
Fantasy Amusement Park,Casual,"Jul 28, 2023",0 - 20000,0,0,0
Black Market,"Casual,Indie,Simulation","Jan 24, 2025",0 - 0,0,0,0
Evertried,"Indie,Strategy","Oct 21, 2021",0 - 20000,0,55,14
Zombie World,"Action,Adventure,Indie,RPG","Jun 1, 2018",0 - 20000,0,0,4
RPG Plus - Virtual Tabletop,"RPG,Strategy","Feb 14, 2024",0 - 20000,0,0,0
CyberVault Playtest,,"Mar 8, 2023",0 - 0,0,0,0
A Night In Omar's Burger Playtest,,"Oct 4, 2023",0 - 0,0,0,0
Bad North: Jotunn Edition,"Action,Indie,Simulation","Nov 16, 2018",500000 - 1000000,0,11367,831
Lucky Night: Texas Hold'em VR,"Casual,Free To Play","Jul 26, 2017",100000 - 200000,0,144,35
They Yearn For The Mines,"Action,Adventure,Casual,Indie,Sports","Dec 4, 2024",0 - 20000,0,6,0
Zooblies,"Action,Casual","Jan 16, 2023",0 - 20000,0,5,0
COGEN: Sword of Rewind / COGEN: 大鳥こはくと刻の剣,Action,"Jan 26, 2022",20000 - 50000,0,75,34
DrumKit VR - Play drum kit in the world of VR,Audio Production,"Jul 8, 2016",0 - 20000,0,7,15
Wizard Shrimp,"Action,Casual,Indie","Dec 13, 2024",0 - 20000,0,95,2
Controller Sync,"Action,Casual,Indie,Strategy","Nov 18, 2023",20000 - 50000,0,5,0
Epic Arena,"Free To Play,Indie,Strategy","May 5, 2015",100000 - 200000,0,196,104
Pixel Game Maker Series Werewolf Princess Kaguya,"Action,Indie","Dec 20, 2020",0 - 20000,0,12,0
Master Of Squad,"Action,Casual,Indie,RPG,Strategy,Early Access","Nov 11, 2022",0 - 20000,0,0,0
Spookstopia: Atomic Division,"Indie,Early Access","Jul 31, 2024",0 - 20000,0,1,1
OPERATION TEMPLE,"Action,Adventure","Feb 14, 2024",0 - 20000,0,10,2
Blaster Multiplayer,Action,"Jan 2, 2024",0 - 0,0,0,0
Fateless,Action,"Nov 28, 2019",100000 - 200000,0,26,9
MazeBot,"Action,Casual,Indie","May 3, 2018",0 - 20000,0,39,4
The Metronomicon: Slay The Dance Floor,"Action,Indie,RPG","Sep 29, 2016",20000 - 50000,0,330,65
Hapless,"Adventure,Casual,RPG","May 29, 2025",0 - 20000,0,0,0
BRUTALISMUS: Dystopia,"Adventure,Casual,Indie,Simulation","Jul 31, 2025",0 - 0,0,0,0
Ortheo's Interdimensional Jam Session,"Action,Indie,Free To Play","Aug 10, 2023",0 - 0,0,0,0
Spider-Guy: Trapped in the Cheese Place,"Action,Adventure,Indie","Feb 21, 2024",0 - 0,0,0,0
謎解き二十部屋,"Casual,Indie,RPG","Jul 9, 2025",0 - 0,0,0,0
Virus at Home,"Action,Adventure,Indie","Jan 7, 2022",20000 - 50000,0,31,3
Carnegie,Strategy,"Apr 8, 2025",0 - 20000,0,3,0
Room Escape: Open Doors,"Adventure,Casual,Indie","Jan 1, 2025",0 - 20000,0,1,1
Dark and Deep Playtest,,"Mar 20, 2024",0 - 0,0,0,0
Who is Paul,"Action,Adventure,Indie","Oct 21, 2024",0 - 20000,0,13,0
I fell from Grace,"Adventure,Indie","Dec 20, 2017",0 - 20000,0,54,22
Evan's Remains,"Adventure,Casual,Indie","Jun 11, 2020",200000 - 500000,0,1637,230
筠宝大冒险,Casual,"Jul 15, 2021",0 - 20000,0,0,0
Seed of Pandora: Legend of the Gaia Tree,RPG,"Feb 6, 2025",0 - 20000,0,8,7
Zero-G Gunfight,Indie,"Feb 16, 2023",0 - 20000,0,59,2
Escape The Manor,"Action,Indie","Jan 28, 2020",0 - 20000,0,4,1
Hey! Here are some letters,"Casual,Indie","Mar 4, 2024",0 - 20000,0,2,0
Simulators2021,"Adventure,Indie,Simulation","Nov 16, 2020",0 - 20000,0,2,1
Food Truck Monopoly,"Casual,Simulation","Jul 13, 2025",0 - 0,0,0,0
Finding Fate,Casual,"Jun 7, 2023",0 - 20000,0,2,0
Galvanized,"Action,Early Access","Jun 17, 2025",0 - 20000,0,0,0
ENOH,"Action,Indie","Oct 27, 2021",20000 - 50000,0,2,3
Eastshade,"Adventure,Indie","Feb 13, 2019",100000 - 200000,0,4608,549
Martha Madison: Simple Machines Volume 1,"Casual,Indie","Feb 8, 2018",0 - 20000,0,0,1
Shadow of the Tomb Raider: Definitive Edition,"Action,Adventure","Sep 14, 2018",0 - 20000,0,13036,4825
ARCHiTECTUS,"Casual,Indie,Simulation,Early Access","Aug 6, 2020",0 - 20000,0,6,0
New kind of adventure,"Adventure,Indie,RPG,Early Access","Jun 4, 2015",500000 - 1000000,0,632,881
